PWeight,Age,PA_Inc,SS_Inc,Hours_Worked,Fam_Size,Children,PUMA,FoodSnap,Tenure,Grandparents,MLTG_HH,Citizenship?,COW,Speaks_English,Other_Lang_Home,Marital_Status,#_of_marriages,Military,Education,Sex,Disability,Parent_Employment,Employment,Health_Cov,Hispanic,IND,Private_HI,Public_HI,Race,Place_of_Birth,Income
22,75,0,16716.100499999997,0,1,b,00100,2,b,b,b,1,b,b,2,3,1,2,24,1,1,b,6,1,01,2,1,1,1,1,16716.100499999997
84,63,0,0,0,1,b,01300,2,b,b,b,1,b,b,2,2,1,4,16,1,2,b,6,1,01,2,2,1,1,1,0
9,20,0,0,0,1,b,00902,2,b,b,b,1,9,b,2,5,b,4,19,1,2,b,3,1,01,20,1,2,1,1,0
74,17,0,0,0,1,b,01300,2,b,b,b,1,b,b,2,5,b,4,16,1,2,b,6,1,01,2,1,2,1,1,0
106,39,0,0,10,1,b,01100,2,b,b,b,1,4,1,1,3,1,4,16,1,2,b,6,1,03,12,2,1,9,1,10130.97
58,82,0,38193.7569,0,1,b,00302,2,b,b,b,1,b,b,2,5,b,4,16,1,1,b,6,1,01,2,2,1,2,1,38193.7569
76,19,0,0,0,1,b,00700,2,b,b,b,1,b,b,2,5,b,4,19,1,2,b,6,1,01,2,1,2,1,1,0
50,32,0,0,50,1,b,01100,2,b,b,b,1,1,b,2,1,1,4,16,1,2,b,6,1,01,6,2,1,1,1,35458.395
103,40,0,0,0,1,b,01100,2,b,b,b,5,b,b,2,5,b,4,19,1,1,b,6,1,01,2,2,1,2,3,0
63,37,0,0,0,1,b,01300,2,b,b,b,1,b,b,2,5,b,4,20,1,2,b,6,1,01,2,2,1,2,1,0
53,21,0,0,0,1,b,00302,2,b,b,b,1,b,b,2,5,b,4,19,1,2,b,6,2,01,2,2,2,1,1,0
77,82,0,38193.7569,0,1,b,00305,2,b,b,b,1,b,b,2,5,b,4,16,1,1,b,6,1,01,2,2,1,2,1,38193.7569
84,19,0,0,0,1,b,00905,2,b,b,b,1,1,b,2,5,b,4,19,2,1,b,6,1,01,10,1,2,9,1,0
57,21,0,0,10,1,b,00700,2,b,b,b,1,2,b,2,5,b,4,19,2,2,b,1,1,01,14,2,1,9,1,5977.2723
107,79,0,14588.5968,0,1,b,00301,2,b,b,b,1,b,b,2,2,1,4,18,2,1,b,6,1,01,2,2,1,1,1,14588.5968
4,51,0,0,0,1,b,00303,1,b,b,b,1,b,b,2,3,1,4,17,1,1,b,6,1,01,2,2,1,1,1,0
23,63,0,12157.163999999999,0,1,b,00103,2,b,b,b,1,b,b,2,5,b,4,01,2,1,b,6,1,01,2,2,1,1,1,12157.163999999999
68,20,0,0,40,1,b,00905,2,b,b,b,1,1,b,2,5,b,4,19,1,2,b,6,1,01,12,1,2,1,1,20261.94
47,21,0,0,40,1,b,01300,2,b,b,b,1,1,b,2,5,b,4,18,2,2,b,6,1,01,12,1,2,1,1,18438.3654
23,18,0,0,7,1,b,00303,2,b,b,b,1,4,b,2,5,b,4,16,1,2,b,1,1,01,13,1,2,1,1,12157.163999999999
47,56,0,0,0,1,b,01100,2,b,b,b,1,b,b,2,5,b,4,14,1,2,b,6,1,01,2,2,1,2,1,0
88,18,0,0,10,1,b,00101,2,b,b,b,1,7,b,2,5,b,4,16,2,2,b,1,1,01,16,1,2,1,1,810.4775999999999
84,20,0,0,32,1,b,00905,2,b,b,b,1,1,b,2,5,b,4,20,2,1,b,6,1,01,16,1,2,1,1,2026.1939999999997
27,74,0,15804.313199999999,0,1,b,00904,2,b,b,b,4,b,2,1,3,1,4,12,2,1,b,6,1,05,2,1,1,8,3,15804.313199999999
13,63,0,0,0,1,b,00104,2,b,b,b,1,b,b,2,3,1,4,16,1,1,b,6,1,01,2,2,1,2,1,7091.678999999999
75,19,0,0,30,1,b,00903,2,b,b,b,1,3,b,2,5,b,4,19,2,2,b,6,1,01,14,1,2,1,1,3140.6007
83,67,0,0,0,1,b,00906,2,b,b,b,1,b,b,2,1,1,4,16,2,1,b,6,1,01,2,2,1,1,1,7395.6080999999995
30,56,0,7294.2984,0,1,b,00100,2,b,b,b,1,b,b,2,5,b,4,01,1,1,b,6,1,01,2,2,1,1,1,7294.2984
25,58,0,364.71491999999995,0,1,b,00100,2,b,b,b,1,b,b,2,5,b,4,14,1,1,b,6,1,01,2,2,1,1,1,364.71491999999995
75,81,0,21376.3467,0,1,b,01101,2,b,b,b,1,b,b,2,2,3,4,16,2,1,b,6,1,01,2,2,1,1,1,23301.231
103,18,0,0,0,1,b,01300,2,b,b,b,1,1,b,2,5,b,4,18,1,2,b,6,1,01,13,1,2,1,1,0
99,20,0,0,30,1,b,00903,2,b,b,b,1,1,b,2,5,b,4,16,2,2,b,1,1,04,16,1,2,1,1,2026.1939999999997
101,77,0,19046.223599999998,0,1,b,00105,2,b,b,b,1,b,b,2,5,b,4,16,2,1,b,6,1,01,2,2,1,1,1,19046.223599999998
28,19,0,0,0,1,b,01300,2,b,b,b,1,b,b,2,5,b,4,19,1,2,b,6,1,01,2,1,2,1,1,0
60,19,0,0,5,1,b,00905,2,b,b,b,5,4,b,2,5,b,4,19,2,2,b,1,1,01,13,1,2,1,5,7091.678999999999
7,40,0,0,0,1,b,00700,2,b,b,b,1,b,b,2,3,1,4,14,1,2,b,6,1,01,2,2,1,1,1,0
106,19,0,0,20,1,b,01300,2,b,b,b,1,1,b,2,5,b,4,19,2,2,b,6,1,01,10,1,2,1,1,1823.5746
16,67,0,15804.313199999999,0,1,b,00303,2,b,b,b,1,b,b,2,5,b,4,16,1,1,b,6,1,01,2,2,1,1,1,15804.313199999999
43,53,0,0,30,1,b,00700,2,b,b,b,1,1,b,2,5,b,4,16,1,2,b,6,1,01,9,2,1,1,1,18944.9139
5,55,5673.343199999999,11245.376699999999,0,1,b,00906,2,b,b,b,1,b,b,2,5,b,4,17,2,1,b,6,1,01,2,2,1,1,1,16918.7199
54,19,0,0,15,1,b,00905,2,b,b,b,1,1,b,2,5,b,4,19,1,2,b,1,2,01,16,2,2,1,1,6078.581999999999
86,19,0,0,0,1,b,00905,2,b,b,b,2,b,1,1,5,b,4,16,2,2,b,6,1,03,2,1,2,2,2,0
4,18,0,0,0,1,b,00302,2,b,b,b,1,b,b,2,5,b,4,16,1,2,b,6,1,01,2,1,2,1,1,0
36,37,2026.1939999999997,0,0,1,b,00700,1,b,b,b,1,1,1,1,3,1,4,16,2,2,b,6,1,03,16,2,1,8,1,2026.1939999999997
4,19,0,0,0,1,b,00700,2,b,b,b,1,b,b,2,5,b,4,19,2,2,b,6,1,01,2,1,2,1,1,0
104,20,0,0,8,1,b,00104,2,b,b,b,1,1,b,2,5,b,4,19,2,2,b,1,1,01,16,1,2,9,1,395.10783
97,18,0,0,9,1,b,01500,2,b,b,b,1,1,b,2,5,b,4,18,2,2,b,6,1,01,16,1,2,1,1,1013.0969999999999
54,18,0,0,25,1,b,00904,2,b,b,b,1,1,b,2,5,b,4,19,1,2,b,2,2,01,16,2,2,1,1,6686.440199999999
84,18,0,0,7,1,b,00104,2,b,b,b,1,1,b,2,5,b,4,18,2,2,b,6,1,01,13,1,2,1,1,283.66715999999997
26,68,0,2735.3619,0,1,b,00905,2,b,b,b,1,b,b,2,5,b,4,17,1,1,b,6,1,01,2,2,1,2,1,2735.3619
83,77,0,4356.317099999999,0,1,b,00301,2,b,b,b,1,b,b,2,5,b,4,16,1,1,b,6,1,01,2,2,1,1,1,8712.634199999999
29,21,0,0,30,1,b,00904,2,b,b,b,1,1,b,2,5,b,4,19,1,2,b,1,1,01,12,1,2,1,1,13170.260999999999
47,21,0,0,18,1,b,01101,2,b,b,b,1,5,b,2,5,b,1,19,2,2,b,4,1,01,19,1,2,1,1,14284.667699999998
11,68,0,2735.3619,0,1,b,00105,2,b,b,b,1,b,b,2,5,b,4,17,1,1,b,6,1,01,2,2,1,2,1,2735.3619
46,84,0,0,0,1,b,00900,2,b,b,b,1,b,b,2,5,b,4,01,1,1,b,6,1,01,2,2,1,1,1,8712.634199999999
78,22,0,0,60,1,b,01101,2,b,b,b,1,5,b,2,5,b,1,19,1,2,b,4,1,01,19,1,2,1,1,9725.731199999998
104,71,0,13372.880399999998,0,1,b,00102,2,b,b,b,1,b,b,2,1,1,4,16,1,1,b,6,1,01,2,2,1,1,1,13372.880399999998
154,20,0,0,40,1,b,01101,2,b,b,b,1,5,b,2,5,b,1,19,1,2,b,4,1,01,19,1,2,1,1,4964.1753
13,71,0,12359.783399999998,0,1,b,00302,2,b,b,b,1,b,b,2,5,b,2,16,1,1,b,6,1,01,2,2,1,1,1,12359.783399999998
82,62,0,0,30,1,b,01101,2,b,b,b,1,4,b,2,5,b,4,19,2,2,b,6,1,01,18,2,1,2,1,18742.2945
25,20,0,0,0,1,b,00303,2,b,b,b,1,b,b,2,5,b,4,19,2,2,b,6,1,01,2,1,2,1,1,0
5,64,0,0,0,1,b,00903,1,b,b,b,1,b,b,2,3,1,4,20,1,1,b,6,1,01,2,2,1,1,1,0
13,84,0,20869.798199999997,0,1,b,00100,2,b,b,b,1,b,b,2,2,1,3,16,1,1,b,6,1,01,2,2,1,1,1,20869.798199999997
79,62,0,13676.8095,0,1,b,00901,2,b,b,b,1,1,b,2,3,1,4,13,1,1,b,6,1,01,9,2,1,1,1,13676.8095
71,90,0,21173.7273,0,1,b,01500,2,b,b,b,1,b,b,2,2,1,4,13,2,1,b,6,1,01,2,2,1,1,1,28265.4063
4,18,0,0,0,1,b,00304,2,b,b,b,1,b,b,2,5,b,4,19,2,2,b,6,1,01,2,2,1,1,1,0
28,65,0,8915.2536,0,1,b,00300,2,b,b,b,1,b,b,2,4,1,2,16,1,2,b,6,1,01,2,2,1,2,1,8915.2536
61,21,0,0,0,1,b,00302,2,b,b,b,1,b,b,2,5,b,4,19,1,2,b,6,1,01,2,1,2,1,1,0
9,60,0,13271.570699999998,0,1,b,00905,2,b,b,b,1,b,b,2,5,b,4,17,2,1,b,6,1,01,2,2,1,1,1,13271.570699999998
25,36,0,0,0,1,b,00700,2,b,b,b,1,b,b,2,5,b,4,12,1,1,b,6,1,01,2,2,1,2,1,2228.8134
2,21,0,0,0,1,b,00302,2,b,b,b,1,b,b,2,5,b,4,19,1,2,b,6,1,01,2,1,2,1,1,0
82,51,0,0,0,1,b,00302,2,b,b,b,1,b,b,2,5,b,4,16,1,2,b,6,1,01,2,2,1,2,1,0
23,55,0,0,0,1,b,00103,2,b,b,b,1,b,b,2,2,1,4,22,2,1,b,6,1,01,2,2,1,1,1,14689.9065
119,19,0,0,18,1,b,00104,2,b,b,b,1,1,b,2,5,b,4,19,2,2,b,1,1,01,16,1,2,2,1,4052.3879999999995
76,84,0,0,0,1,b,00906,2,b,b,b,1,b,b,2,5,b,4,01,1,1,b,6,1,01,2,2,1,1,1,8712.634199999999
78,55,0,0,40,1,b,00104,2,b,b,b,1,1,b,2,5,b,4,16,1,1,b,3,1,01,8,2,1,1,1,8408.7051
34,73,0,20363.249699999997,0,1,b,00303,2,b,b,b,1,b,3,1,2,1,4,11,2,1,b,6,1,03,2,2,1,8,1,20363.249699999997
81,21,0,0,0,1,b,00100,2,b,b,b,1,b,b,2,5,b,4,19,1,2,b,6,1,01,2,1,2,1,1,0
39,64,0,0,0,1,b,00303,2,b,b,b,1,b,b,2,5,b,4,16,2,1,b,6,1,01,2,2,1,2,1,0
18,77,0,17931.816899999998,0,1,b,00303,2,b,b,b,1,b,b,2,3,1,4,18,2,1,b,6,1,01,2,2,1,1,1,17931.816899999998
20,63,0,8307.3954,0,1,b,00100,2,b,b,b,1,b,b,2,5,b,2,16,1,2,b,6,1,01,2,2,1,2,1,8307.3954
71,40,0,0,0,1,b,00300,2,b,b,b,1,b,1,1,1,1,4,12,1,2,b,6,1,03,2,2,1,8,1,0
34,83,0,11144.067,0,1,b,00303,2,b,b,b,1,b,b,2,5,b,4,16,2,1,b,6,1,01,2,2,1,1,1,11144.067
79,21,0,0,0,1,b,00905,2,b,b,b,1,b,b,2,5,b,4,13,1,1,b,6,1,01,2,2,1,3,1,0
57,20,0,0,20,1,b,00700,2,b,b,b,5,1,1,1,5,b,4,19,2,2,b,1,1,01,13,1,2,2,6,6078.581999999999
75,40,0,0,0,1,b,01300,2,b,b,b,1,b,b,2,5,b,4,18,1,2,b,6,2,01,2,2,2,1,1,0
41,50,0,0,80,1,b,00500,2,b,b,b,1,2,b,2,1,2,4,22,1,2,b,1,1,01,13,1,2,1,1,65851.305
11,20,0,0,6,1,b,01300,2,b,b,b,1,1,b,2,5,b,4,18,1,2,b,1,1,01,8,1,2,1,1,101.30969999999999
13,54,0,0,0,1,b,00100,1,b,b,b,1,3,b,2,5,b,4,17,1,1,b,6,1,01,13,2,1,1,1,4862.865599999999
86,32,0,0,0,1,b,00900,2,b,b,b,1,b,b,2,5,b,4,17,1,2,b,6,1,01,2,1,2,2,1,0
100,81,0,16006.932599999998,0,1,b,00304,2,b,b,b,1,b,b,2,2,1,4,16,2,1,b,6,1,01,2,2,1,1,1,16006.932599999998
4,43,0,7902.156599999999,0,1,b,00105,2,b,b,b,1,b,b,2,5,b,4,01,2,1,b,6,1,19,2,1,1,1,1,17830.5072
26,54,0,0,0,1,b,00302,1,b,b,b,1,b,b,2,5,b,4,17,1,1,b,6,1,01,2,2,1,2,1,0
83,20,0,0,10,1,b,00700,2,b,b,b,4,1,1,1,5,b,4,16,1,2,b,1,1,01,13,1,2,6,4,3951.0782999999997
94,89,0,19451.462399999997,0,1,b,01100,2,b,b,b,1,b,b,2,2,1,4,16,2,1,b,6,1,01,2,1,1,2,1,22490.753399999998
103,20,0,0,99,1,b,01101,2,b,b,b,1,5,b,2,5,b,1,19,1,2,b,4,1,01,19,1,2,1,1,10130.97
82,20,0,0,32,1,b,00904,2,b,b,b,1,1,b,2,5,b,4,20,2,1,b,6,1,01,16,1,2,1,1,2026.1939999999997
81,21,0,0,30,1,b,00904,2,b,b,b,1,1,b,2,5,b,4,19,1,2,b,1,1,01,12,1,2,1,1,13170.260999999999
56,18,0,0,12,1,b,01300,2,b,b,b,4,4,1,1,5,b,4,19,1,2,b,1,2,01,13,2,2,6,4,3545.8394999999996
61,43,0,0,0,1,b,01300,2,b,b,b,1,b,b,2,3,1,4,17,1,2,b,6,2,01,2,2,2,1,1,0
78,90,0,21173.7273,0,1,b,01500,2,b,b,b,1,b,b,2,2,1,4,13,2,1,b,6,1,01,2,2,1,1,1,28265.4063
12,79,0,7902.156599999999,0,1,b,00105,2,b,b,b,1,b,b,2,5,b,4,22,2,2,b,6,1,01,2,2,1,1,1,7902.156599999999
57,21,0,0,0,1,b,00905,2,b,b,b,1,b,2,1,5,b,4,19,1,2,b,6,1,01,2,1,2,6,1,0
20,19,0,0,0,1,b,00302,2,b,b,b,1,b,b,2,5,b,4,18,2,2,b,6,1,01,2,1,2,1,1,0
13,89,0,22085.5146,0,1,b,01500,2,b,b,b,1,b,b,2,1,1,4,10,1,1,b,6,1,01,2,2,1,1,1,34242.6786
30,96,303.92909999999995,22288.134,0,1,b,01101,1,b,b,b,1,b,b,2,2,1,4,16,2,1,b,6,1,01,2,2,1,1,1,32317.794299999998
8,16,0,0,0,1,b,00304,2,b,b,b,1,b,b,2,5,b,b,13,1,1,b,6,1,01,2,2,1,2,1,0
26,96,0,25732.6638,0,1,b,01300,2,b,b,b,1,b,b,2,2,1,2,16,1,1,b,6,1,01,2,2,1,1,1,29379.813
42,24,0,0,40,1,b,00300,2,b,b,b,4,1,b,2,5,b,4,17,1,2,b,6,1,01,16,2,1,2,3,18235.746
